Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality,Topological similarity
16,10,80,1,0.01,1.1015210294714686,0.45822792146480307
16,10,80,1,0.01,1.101224249783854,0.4105311889946103
16,10,80,1,0.01,1.1001748927010542,0.4475483302149269
16,10,80,1,0.01,1.101341469293105,0.5019898264391223
16,10,80,1,0.01,1.1023100422241041,0.39926046997413706
16,10,80,1,0.01,1.1010347816556831,0.480732365001579
16,10,80,1,0.01,1.1019109223127193,0.4889216006056263
16,10,80,1,0.01,1.102984536278934,0.49079283645544497
16,10,80,1,0.01,1.1013056469302147,0.5459054201685403
16,10,96,1,0.01,1.0845783536464078,0.5480338103391318
16,10,96,1,0.01,1.0851040085788763,0.4900609245298483
16,10,96,1,0.01,1.0841296643948735,0.5241651380282519
16,10,96,1,0.01,1.0837599038902122,0.4492884729954646
16,10,96,1,0.01,1.0854662718195374,0.5100608023825072
16,10,96,1,0.01,1.0863598574371784,0.523992424624941
16,10,96,1,0.01,1.083523540582471,0.5188536163975543
16,10,96,1,0.01,1.0844149002105672,0.5453207097609961
16,10,96,1,0.01,1.0851572303193946,0.5209474592757963
16,10,96,1,0.01,1.0832316045365857,0.5329026823284273
16,10,112,1,0.01,1.0717724471637258,0.4590936163782636
16,10,112,1,0.01,1.0734231988409257,0.5038923376248191
16,10,112,1,0.01,1.0731974917160174,0.6062528299816193
16,10,112,1,0.01,1.0727329757336106,0.4976175295376233
16,10,112,1,0.01,1.0722358354902533,0.623253128951089
16,10,112,1,0.01,1.072469285919203,0.6648472349386279
16,10,112,1,0.01,1.0706251063857288,0.5615834036827241
16,10,112,1,0.01,1.072766889492233,0.6041394381736129
16,10,112,1,0.01,1.0721893725086569,0.6183563195151272
16,10,112,1,0.01,1.0730516745413603,0.5408753155312009
16,10,128,1,0.01,1.0636896543278804,0.6057071257396445
16,10,128,1,0.01,1.0634503162106028,0.5965016149888723
16,10,128,1,0.01,1.063998766571847,0.6163676813700286
16,10,128,1,0.01,1.063033598895393,0.6277409974323723
16,10,128,1,0.01,1.0635854249283971,0.6309117185802893
16,10,128,1,0.01,1.0635717756421792,0.5976987307856262
16,10,128,1,0.01,1.0627897921444653,0.5242131612832506
16,10,128,1,0.01,1.0632709651961896,0.6422257711885218
16,10,128,1,0.01,1.062264863240177,0.5696193174768892
16,10,128,1,0.01,1.0628471292479797,0.5067050567765445
16,10,144,1,0.01,1.0567479182246633,0.6142623344709468
16,10,144,1,0.01,1.0559873042695822,0.592744459849772
16,10,144,1,0.01,1.0562227395456227,0.6268980500520673
16,10,144,1,0.01,1.0548987517555655,0.5450862928130096
16,10,144,1,0.01,1.0557427159881578,0.48499875847768825
16,10,144,1,0.01,1.0562122659452018,0.553065055538964
16,10,144,1,0.01,1.0549661395876804,0.5468164333785122
16,10,144,1,0.01,1.056074401693453,0.5900946876371627
16,10,144,1,0.01,1.0561817879075828,0.6503234146172107
16,10,144,1,0.01,1.0562938099784396,0.5212859428981828
16,10,160,1,0.01,1.050266104202359,0.5787160675634622
16,10,160,1,0.01,1.0510552717777868,0.5947124078311472
16,10,160,1,0.01,1.0510067963450378,0.6513718622829238
16,10,160,1,0.01,1.0501875951211996,0.5849006247645852
16,10,160,1,0.01,1.0509862585918284,0.5901962489554891
16,10,160,1,0.01,1.0504405236759156,0.6416911024221656
16,10,160,1,0.01,1.0502809439323126,0.5383793987913099
16,10,160,1,0.01,1.0505678991266951,0.6122640478868944
16,10,160,1,0.01,1.0500947899595987,0.6691406584255535
16,10,160,1,0.01,1.0509527483707737,0.6235797433367432
