Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,15,64,1,0.01,1.0328822020021728
8,15,64,1,0.01,1.0321002055754813
8,15,64,1,0.01,1.0325839193784243
8,15,64,1,0.01,1.0324754846516708
8,15,64,1,0.01,1.032962718950398
8,16,64,1,0.01,1.0310025655333361
8,16,64,1,0.01,1.031491110643786
8,16,64,1,0.01,1.0314588810738654
8,16,64,1,0.01,1.0315009905534873
8,16,64,1,0.01,1.0315153230172895
8,16,64,1,0.01,1.031595651568847
8,16,64,1,0.01,1.031379771143765
8,16,64,1,0.01,1.031418978435862
8,16,64,1,0.01,1.031397298730106
8,16,64,1,0.01,1.0313668782594518
8,17,64,1,0.01,1.0302132333993672
8,17,64,1,0.01,1.0303540781512235
8,17,64,1,0.01,1.0307131164115673
8,17,64,1,0.01,1.0303685098945508
8,17,64,1,0.01,1.0303924385855407
8,17,64,1,0.01,1.030406887985419
8,17,64,1,0.01,1.0299858107876108
8,17,64,1,0.01,1.030621921946005
8,17,64,1,0.01,1.030229807947085
8,17,64,1,0.01,1.030257887347176
8,18,64,1,0.01,1.0295091137464718
8,18,64,1,0.01,1.0293237110773337
8,18,64,1,0.01,1.0295359419826673
8,18,64,1,0.01,1.0291422104138486
8,18,64,1,0.01,1.0296806288435123
8,18,64,1,0.01,1.0298921026750656
8,18,64,1,0.01,1.029205367509992
8,18,64,1,0.01,1.029510406235266
8,18,64,1,0.01,1.0294040287248258
8,18,64,1,0.01,1.0295371246691036
8,19,64,1,0.01,1.028579809070519
8,19,64,1,0.01,1.0286126820942854
8,19,64,1,0.01,1.02824006748742
8,19,64,1,0.01,1.028130965754172
8,19,64,1,0.01,1.0285933660217814
8,19,64,1,0.01,1.0286626919397805
8,19,64,1,0.01,1.0284206855256761
8,19,64,1,0.01,1.0281502781257705
8,19,64,1,0.01,1.0283766026137924
8,19,64,1,0.01,1.0287520707881805
8,20,64,1,0.01,1.0276699197454804
8,20,64,1,0.01,1.0276563519859305
8,20,64,1,0.01,1.027217417348816
8,20,64,1,0.01,1.0274667182582315
8,20,64,1,0.01,1.0275333957245576
8,20,64,1,0.01,1.0275749529436458
8,20,64,1,0.01,1.0271131460262661
8,20,64,1,0.01,1.027493078925662
8,20,64,1,0.01,1.0273170061002463
8,20,64,1,0.01,1.027710706027478
8,21,64,1,0.01,1.0265841103010425
8,21,64,1,0.01,1.027048330250273
8,21,64,1,0.01,1.0265340800896074
8,21,64,1,0.01,1.0266881546223652
8,21,64,1,0.01,1.0267983096439228
8,21,64,1,0.01,1.0266811000695273
8,21,64,1,0.01,1.026458965272085
8,21,64,1,0.01,1.0270337324456955
8,21,64,1,0.01,1.0265369106709068
8,21,64,1,0.01,1.0267312654011997
8,22,64,1,0.01,1.025978932998997
8,22,64,1,0.01,1.0259931417811372
